2026-02-02 13:20:03.409 | INFO     | <module>                  | ================================================================================
2026-02-02 13:20:03.409 | INFO     | <module>                  | GONDOLA DEBUG LOGGING INITIALIZED
2026-02-02 13:20:03.409 | INFO     | <module>                  | Log file: /home/anonymous/gemini-workspace/gondola_v2.0/venice-web-ui/logs/gondola_debug_20260202_132003.log
2026-02-02 13:20:03.410 | INFO     | <module>                  | ================================================================================
2026-02-02 13:20:03.421 | INFO     | load_saved_workspace      | Restored workspace from config: /home/anonymous/gemini-workspace/lagoon_v1.3
2026-02-02 13:20:03.421 | INFO     | initialize                | ============================================================
2026-02-02 13:20:03.422 | INFO     | initialize                | INITIALIZING GONDOLA SERVER
2026-02-02 13:20:03.422 | INFO     | initialize                | ============================================================
2026-02-02 13:20:03.422 | DEBUG    | initialize                | Workspace directory: /home/anonymous/gemini-workspace/lagoon_v1.3
2026-02-02 13:20:03.422 | DEBUG    | initialize                | Workspace initialized
2026-02-02 13:20:03.422 | DEBUG    | initialize                | Memory initialized, root: /home/anonymous/gemini-workspace/lagoon_v1.3
2026-02-02 13:20:03.422 | DEBUG    | initialize                | Tools initialized
2026-02-02 13:20:03.422 | INFO     | initialize                | Building project index...
2026-02-02 13:20:03.423 | INFO     | initialize                | Project index built: 211 files in 0.00s
2026-02-02 13:20:03.423 | DEBUG    | initialize                | Agent state tracker initialized
2026-02-02 13:20:03.423 | INFO     | initialize                | API key found (length: 59, prefix: VENICE-A...)
2026-02-02 13:20:04.105 | INFO     | initialize                | OpenAI client initialized with 120s timeout
2026-02-02 13:20:04.105 | INFO     | initialize                | System prompt initialized (2035 chars)
2026-02-02 13:20:04.105 | INFO     | initialize                | INITIALIZATION COMPLETE
2026-02-02 13:20:04.111 | INFO     | <module>                  | ======================================================================
2026-02-02 13:20:04.111 | INFO     | <module>                  | STARTING GONDOLA SERVER
2026-02-02 13:20:04.111 | INFO     | <module>                  | Port: 5010
2026-02-02 13:20:04.112 | INFO     | <module>                  | Log file: /home/anonymous/gemini-workspace/gondola_v2.0/venice-web-ui/logs/gondola_debug_20260202_132003.log
2026-02-02 13:20:04.112 | INFO     | <module>                  | ======================================================================
2026-02-02 14:40:48.969 | INFO     | chat                      | ======================================================================
2026-02-02 14:40:48.969 | INFO     | chat                      | [6ce4a57e] NEW CHAT REQUEST
2026-02-02 14:40:48.970 | INFO     | chat                      | ======================================================================
2026-02-02 14:40:48.970 | INFO     | chat                      | [6ce4a57e] Model: qwen3-235b-a22b-instruct-2507
2026-02-02 14:40:48.970 | INFO     | chat                      | [6ce4a57e] Message length: 5 chars
2026-02-02 14:40:48.970 | INFO     | chat                      | [6ce4a57e] Has image: False
2026-02-02 14:40:48.970 | DEBUG    | chat                      | [6ce4a57e] User message preview: clear...
2026-02-02 14:40:48.970 | INFO     | chat                      | [6ce4a57e] Clear command received - reinitializing
2026-02-02 14:40:48.971 | INFO     | initialize                | ============================================================
2026-02-02 14:40:48.971 | INFO     | initialize                | INITIALIZING GONDOLA SERVER
2026-02-02 14:40:48.971 | INFO     | initialize                | ============================================================
2026-02-02 14:40:48.971 | DEBUG    | initialize                | Workspace directory: /home/anonymous/gemini-workspace/lagoon_v1.3
2026-02-02 14:40:48.971 | DEBUG    | initialize                | Workspace initialized
2026-02-02 14:40:48.972 | DEBUG    | initialize                | Memory initialized, root: /home/anonymous/gemini-workspace/lagoon_v1.3
2026-02-02 14:40:48.972 | DEBUG    | initialize                | Tools initialized
2026-02-02 14:40:48.972 | INFO     | initialize                | Building project index...
2026-02-02 14:40:48.974 | INFO     | initialize                | Project index built: 211 files in 0.00s
2026-02-02 14:40:48.974 | DEBUG    | initialize                | Agent state tracker initialized
2026-02-02 14:40:48.975 | INFO     | initialize                | API key found (length: 59, prefix: VENICE-A...)
2026-02-02 14:40:49.057 | INFO     | initialize                | OpenAI client initialized with 120s timeout
2026-02-02 14:40:49.058 | INFO     | initialize                | System prompt initialized (2035 chars)
2026-02-02 14:40:49.058 | INFO     | initialize                | INITIALIZATION COMPLETE
2026-02-02 14:41:05.392 | INFO     | chat                      | ======================================================================
2026-02-02 14:41:05.392 | INFO     | chat                      | [70cb5e7c] NEW CHAT REQUEST
2026-02-02 14:41:05.393 | INFO     | chat                      | ======================================================================
2026-02-02 14:41:05.393 | INFO     | chat                      | [70cb5e7c] Model: openai-gpt-52-codex
2026-02-02 14:41:05.393 | INFO     | chat                      | [70cb5e7c] Message length: 118 chars
2026-02-02 14:41:05.393 | INFO     | chat                      | [70cb5e7c] Has image: False
2026-02-02 14:41:05.393 | DEBUG    | chat                      | [70cb5e7c] User message preview: Analyze the files in the current workspace and generate a bulleted summary of the project's features and architecture....
2026-02-02 14:41:05.393 | INFO     | chat                      | [70cb5e7c] Total messages in context: 2
2026-02-02 14:41:05.394 | INFO     | run_llm_and_tools         | [70cb5e7c] Model config loaded:
2026-02-02 14:41:05.394 | INFO     | run_llm_and_tools         | [70cb5e7c]   max_agent_turns: 50
2026-02-02 14:41:05.394 | INFO     | run_llm_and_tools         | [70cb5e7c]   checkpoint_turns: []
2026-02-02 14:41:05.394 | INFO     | run_llm_and_tools         | [70cb5e7c]   needs_explicit_stop: False
2026-02-02 14:41:05.394 | INFO     | run_llm_and_tools         | [70cb5e7c]   native_function_calling: True
2026-02-02 14:41:05.405 | INFO     | run_llm_and_tools         | [70cb5e7c] Project context loaded: 4771 chars
2026-02-02 14:41:05.405 | INFO     | run_llm_and_tools         | [70cb5e7c] --- AGENT TURN 1 ---
2026-02-02 14:41:05.405 | DEBUG    | run_llm_and_tools         | [70cb5e7c] Context managed: 2 -> 2 messages
2026-02-02 14:41:05.407 | DEBUG    | run_llm_and_tools         | [70cb5e7c] Dynamic system prompt updated (6831 chars)
2026-02-02 14:41:05.407 | INFO     | run_llm_and_tools         | [70cb5e7c] ╔══════════════════════════════════════════════════════════
2026-02-02 14:41:05.407 | INFO     | run_llm_and_tools         | [70cb5e7c] ║ API REQUEST TO VENICE
2026-02-02 14:41:05.408 | INFO     | run_llm_and_tools         | [70cb5e7c] ╠══════════════════════════════════════════════════════════
2026-02-02 14:41:05.408 | INFO     | run_llm_and_tools         | [70cb5e7c] ║ Model:          openai-gpt-52-codex
2026-02-02 14:41:05.408 | INFO     | run_llm_and_tools         | [70cb5e7c] ║ Max Tokens:     20000
2026-02-02 14:41:05.408 | INFO     | run_llm_and_tools         | [70cb5e7c] ║ Stream Timeout: 60s
2026-02-02 14:41:05.408 | INFO     | run_llm_and_tools         | [70cb5e7c] ║ Context Limit:  262000
2026-02-02 14:41:05.408 | INFO     | run_llm_and_tools         | [70cb5e7c] ║ Pricing:        unknown
2026-02-02 14:41:05.408 | INFO     | run_llm_and_tools         | [70cb5e7c] ║ Messages:       2
2026-02-02 14:41:05.408 | INFO     | run_llm_and_tools         | [70cb5e7c] ║ HTTP Timeout:   120.0s (connect), 60s (read)
2026-02-02 14:41:05.408 | INFO     | run_llm_and_tools         | [70cb5e7c] ╚══════════════════════════════════════════════════════════
2026-02-02 14:41:05.409 | DEBUG    | run_llm_and_tools         | [70cb5e7c] Estimated payload size: 7229 bytes
2026-02-02 14:41:05.409 | INFO     | run_llm_and_tools         | [70cb5e7c] >>> Initiating API call at 2026-02-02T14:41:05.409218
2026-02-02 14:41:06.943 | INFO     | run_llm_and_tools         | [70cb5e7c] <<< Connection established in 1.534s
2026-02-02 14:41:06.943 | INFO     | run_llm_and_tools         | [70cb5e7c] Response status: 200
2026-02-02 14:41:06.943 | DEBUG    | run_llm_and_tools         | [70cb5e7c] --- RESPONSE HEADERS ---
2026-02-02 14:41:06.943 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   date: Mon, 02 Feb 2026 19:41:08 GMT
2026-02-02 14:41:06.943 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   content-type: text/event-stream; charset=utf-8
2026-02-02 14:41:06.943 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   transfer-encoding: chunked
2026-02-02 14:41:06.943 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   connection: keep-alive
2026-02-02 14:41:06.943 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   content-security-policy: default-src 'none'; frame-ancestors *; upgrade-insecure-requests
2026-02-02 14:41:06.943 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   access-control-allow-origin: *
2026-02-02 14:41:06.944 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   access-control-allow-credentials: true
2026-02-02 14:41:06.944 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   access-control-expose-headers: *
2026-02-02 14:41:06.944 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   cache-control: no-cache
2026-02-02 14:41:06.944 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   cdn-cache-control: no-store
2026-02-02 14:41:06.944 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   x-venice-version: outerface-api-server-us-east1-01348-xhd
2026-02-02 14:41:06.944 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   x-venice-balance-usd: 31.62193073
2026-02-02 14:41:06.944 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   x-ratelimit-limit-requests: 1000
2026-02-02 14:41:06.944 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   x-ratelimit-remaining-requests: 999
2026-02-02 14:41:06.944 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   x-ratelimit-reset-requests: 1770061327564
2026-02-02 14:41:06.944 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   vary: Accept-Encoding
2026-02-02 14:41:06.944 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   x-frame-options: SAMEORIGIN
2026-02-02 14:41:06.944 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   server: cloudflare
2026-02-02 14:41:06.944 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   cf-cache-status: DYNAMIC
2026-02-02 14:41:06.944 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   permissions-policy: geolocation=(), camera=()
2026-02-02 14:41:06.945 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   strict-transport-security: max-age=31536000; includeSubDomains; preload
2026-02-02 14:41:06.945 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   x-content-type-options: nosniff
2026-02-02 14:41:06.945 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   referrer-policy: strict-origin
2026-02-02 14:41:06.945 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   content-encoding: gzip
2026-02-02 14:41:06.945 | DEBUG    | run_llm_and_tools         | [70cb5e7c]   cf-ray: 9c7c2a076fb00ed5-EWR
2026-02-02 14:41:06.945 | DEBUG    | run_llm_and_tools         | [70cb5e7c] Content-Type: text/event-stream; charset=utf-8
2026-02-02 14:41:06.946 | INFO     | run_llm_and_tools         | [70cb5e7c] Starting SSE stream processing...
2026-02-02 14:41:06.946 | INFO     | run_llm_and_tools         | [70cb5e7c] ⚡ FIRST CHUNK received! Time-to-first-token: 1.537s
2026-02-02 14:41:09.478 | DEBUG    | run_llm_and_tools         | [70cb5e7c] New tool call detected at index 0
2026-02-02 14:41:09.534 | INFO     | run_llm_and_tools         | [70cb5e7c] ✓ Stream completed
2026-02-02 14:41:09.534 | INFO     | run_llm_and_tools         | [70cb5e7c]   Total chunks: 8
2026-02-02 14:41:09.534 | INFO     | run_llm_and_tools         | [70cb5e7c]   Total content chars: 0
2026-02-02 14:41:09.534 | INFO     | run_llm_and_tools         | [70cb5e7c]   Stream duration: 2.59s
2026-02-02 14:41:09.534 | INFO     | run_llm_and_tools         | [70cb5e7c]   Tool calls detected: 1
2026-02-02 14:41:09.535 | INFO     | run_llm_and_tools         | [70cb5e7c]     [0] map_project (args: 15 chars)
2026-02-02 14:41:09.535 | INFO     | run_llm_and_tools         | [70cb5e7c] Executing 1 tool call(s)
2026-02-02 14:41:09.535 | INFO     | run_llm_and_tools         | [70cb5e7c] ┌─ TOOL: map_project
2026-02-02 14:41:09.535 | INFO     | run_llm_and_tools         | [70cb5e7c] │  ID: call_WdBKKoIoFlwfOt6175mjLm77
2026-02-02 14:41:09.535 | DEBUG    | run_llm_and_tools         | [70cb5e7c] │  Args: {"max_depth":2}
2026-02-02 14:41:09.535 | DEBUG    | execute_tool              | Tool 'map_project' - parsed arguments from function object
2026-02-02 14:41:09.535 | INFO     | execute_tool              | execute_tool: map_project
2026-02-02 14:41:09.535 | DEBUG    | execute_tool              | Tool args: {"max_depth": 2}
2026-02-02 14:41:09.954 | INFO     | execute_tool              | Tool 'map_project' completed in 0.419s (success=True)
2026-02-02 14:41:09.955 | INFO     | run_llm_and_tools         | [70cb5e7c] │  Compressed result: 13297 -> 5000 chars
2026-02-02 14:41:09.955 | INFO     | run_llm_and_tools         | [70cb5e7c] │  Duration: 0.42s
